system,seed,method,roc_auc,pr_auc,bedroc,ef_1pct,top10_recovery
glp1r,1,full_cascade,0.7826666666666666,0.488010984206262,0.5575988434745492,40.0,0.5
glp1r,1,stage3_only,0.6876666666666666,0.265231828737899,0.3256122596882376,20.0,0.2
glp1r,1,standard_3d_pharmacophore,0.6983333333333333,0.2586259026172733,0.3086031891714705,20.0,0.2
glp1r,2,full_cascade,0.7886666666666667,0.4643551589293962,0.5463591072838664,30.0,0.5
glp1r,2,stage3_only,0.7016666666666667,0.280154161115088,0.3485988422623355,20.0,0.3
glp1r,2,standard_3d_pharmacophore,0.727,0.2354352973332824,0.3165256396998767,20.0,0.2
glp1r,3,full_cascade,0.7753333333333333,0.4429590108444323,0.5347213263521627,30.0,0.4
glp1r,3,stage3_only,0.713,0.2727509984990667,0.3358910522400798,20.0,0.2
glp1r,3,standard_3d_pharmacophore,0.711,0.2572731033624211,0.2994248952612875,20.0,0.2
glp1r,4,full_cascade,0.7756666666666666,0.4397750932366968,0.5305443970045007,30.0,0.4
glp1r,4,stage3_only,0.6923333333333334,0.2641007504876118,0.321576708736599,20.0,0.2
glp1r,4,standard_3d_pharmacophore,0.7036666666666667,0.2570892491024714,0.3045826471861022,20.0,0.2
glp1r,5,full_cascade,0.78,0.4816046652313172,0.5525867204623558,40.0,0.5
glp1r,5,stage3_only,0.6963333333333334,0.2742117545922465,0.3418186072202023,20.0,0.3
glp1r,5,standard_3d_pharmacophore,0.7083333333333334,0.2673760307988673,0.3269233278101275,20.0,0.2
ghsr,1,full_cascade,0.9566666666666668,0.6169835964688906,0.6584411544955592,40.0,0.5
ghsr,1,stage3_only,0.9566666666666668,0.6169835964688906,0.6584411544955592,40.0,0.5
ghsr,1,standard_3d_pharmacophore,0.883,0.6355413287807653,0.7426973960668217,30.0,0.7
ghsr,2,full_cascade,0.9716666666666668,0.6589060448408275,0.7202262950471485,40.0,0.5
ghsr,2,stage3_only,0.9716666666666668,0.6589060448408275,0.7202262950471485,40.0,0.5
ghsr,2,standard_3d_pharmacophore,0.8786666666666666,0.6353305320072907,0.7436131284997609,30.0,0.7
ghsr,3,full_cascade,0.96,0.6242651371399,0.66925107265088,40.0,0.5
ghsr,3,stage3_only,0.96,0.6242651371399,0.66925107265088,40.0,0.5
ghsr,3,standard_3d_pharmacophore,0.884,0.6398457098457098,0.7490450607053594,30.0,0.7
ghsr,4,full_cascade,0.9683333333333332,0.6471783223162533,0.7032456025416882,40.0,0.5
ghsr,4,stage3_only,0.9683333333333332,0.6471783223162533,0.7032456025416882,40.0,0.5
ghsr,4,standard_3d_pharmacophore,0.875,0.7091311666996387,0.7640393389683721,40.0,0.7
ghsr,5,full_cascade,0.965,0.637066493634903,0.6883204973752243,40.0,0.5
ghsr,5,stage3_only,0.965,0.637066493634903,0.6883204973752243,40.0,0.5
ghsr,5,standard_3d_pharmacophore,0.881,0.7154581423795838,0.7715981017496465,40.0,0.7
ntsr1,1,full_cascade,0.985,0.8349853372434016,0.8725170351341754,40.0,0.7
ntsr1,1,stage3_only,0.9843333333333332,0.8127631150211795,0.8617146085734585,40.0,0.7
ntsr1,1,standard_3d_pharmacophore,0.7843333333333334,0.5869713497589963,0.6617917199575437,40.0,0.5
ntsr1,2,full_cascade,0.9856666666666666,0.8511469534050179,0.8820117805587134,40.0,0.8
ntsr1,2,stage3_only,0.9853333333333332,0.8386469534050179,0.8764363950012554,40.0,0.8
ntsr1,2,standard_3d_pharmacophore,0.7903333333333333,0.5740716315076348,0.6770854412492437,30.0,0.6
ntsr1,3,full_cascade,0.978,0.8135569105691056,0.8495704978626577,40.0,0.7
ntsr1,3,stage3_only,0.9773333333333334,0.7913346883468835,0.8387680713019406,40.0,0.7
ntsr1,3,standard_3d_pharmacophore,0.7946666666666667,0.594523584310864,0.6734784012368817,40.0,0.5
ntsr1,4,full_cascade,0.984,0.8384280303030303,0.8723652867516224,40.0,0.8
ntsr1,4,stage3_only,0.9833333333333334,0.816205808080808,0.8615628601909053,40.0,0.8
ntsr1,4,standard_3d_pharmacophore,0.782,0.5950003522091081,0.6712848321124147,40.0,0.6
ntsr1,5,full_cascade,0.9833333333333334,0.8366844919786095,0.8702122752411106,40.0,0.8
ntsr1,5,stage3_only,0.9833333333333334,0.8366844919786095,0.8702122752411106,40.0,0.8
ntsr1,5,standard_3d_pharmacophore,0.7863333333333333,0.6032956836972263,0.6786341161717557,40.0,0.6
mdm2,1,full_cascade,0.9063333333333332,0.9034364261168384,0.9264667461847564,40.0,0.9
mdm2,1,stage3_only,0.5893333333333334,0.0467041930764114,0.0290220305827218,0.0,0.0
mdm2,1,standard_3d_pharmacophore,0.5883333333333334,0.0466651760768743,0.0290220288121787,0.0,0.0
mdm2,2,full_cascade,0.9096666666666668,0.90355871886121,0.9264667470768584,40.0,0.9
mdm2,2,stage3_only,0.6176666666666666,0.0524007887939702,0.0524498656752052,0.0,0.0
mdm2,2,standard_3d_pharmacophore,0.6173333333333333,0.0523881692235404,0.0524498655579669,0.0,0.0
mdm2,3,full_cascade,0.9083333333333332,0.9035087719298246,0.926466746650053,40.0,0.9
mdm2,3,stage3_only,0.6206666666666666,0.0539695469644765,0.0553239126557693,0.0,0.0
mdm2,3,standard_3d_pharmacophore,0.62,0.0539409119190441,0.0553239101332053,0.0,0.0
mdm2,4,full_cascade,0.911,0.9036101083032492,0.9264667476293248,40.0,0.9
mdm2,4,stage3_only,0.6,0.0464864737248988,0.0280382994943127,0.0,0.0
mdm2,4,standard_3d_pharmacophore,0.5983333333333334,0.0464122377351769,0.0280382900843697,0.0,0.0
mdm2,5,full_cascade,0.908,0.9034965034965036,0.9264667465594812,40.0,0.9
mdm2,5,stage3_only,0.6133333333333333,0.0521733047415606,0.0497132230993779,0.0,0.0
mdm2,5,standard_3d_pharmacophore,0.6133333333333333,0.0521733047415606,0.0497132230993779,0.0,0.0
