ligand_id,final_rank,best_active,best_inactive,active_pref
ZINCk700001bQgxo,1,-7.179,-6.305,-0.8740000000000006
ZINCk500000BlHKL,2,-7.122,-5.975,-1.1470000000000002
ZINCk600000BmX8e,3,-6.624,-5.381,-1.2429999999999994
ZINCj600000wL7Dt,4,-8.143,-7.026,-1.1170000000000009
ZINCj600000JWMq0,5,-8.485,-6.925,-1.5599999999999996
ZINCk500000gdMQW,6,-6.678,-6.111,-0.5670000000000002
ZINCk600000EmAGZ,7,-8.582,-7.304,-1.2780000000000005
ZINCk6000004c4yV,8,-7.515,-7.15,-0.3649999999999993
ZINCk5000003XjkE,9,-7.207,-6.023,-1.1840000000000002
ZINCk800000gvPBH,10,-6.834,-6.398,-0.43599999999999994
