analysis_rank,ligand_id,canonical_smiles
1,ZINCk700001bQgxo,O=C(C[C@@H](O)CC1CC1)NCCNc1nnc(CO)s1
2,ZINCk500000BlHKL,CC12CC(C(=O)[O-])(C1)C(=C(O)NOCCOCCO)O2
3,ZINCk600000BmX8e,N[C@@H]1CC[C@H](CC(=O)NCCCOCCOCCO)C1
4,ZINCj600000wL7Dt,O=C(C[C@@H]1C=C(O)CCC1)NCc1n[nH]c(CO)n1
5,ZINCj600000JWMq0,Nc1cccc(C(=O)NCc2nc(C(=O)[O-])n[nH]2)c1
6,ZINCk500000gdMQW,COCCC1(CNC(=O)NCc2n[nH]c(CO)n2)CC1
7,ZINCk600000EmAGZ,N=C(O)CNC(=O)c1cncc(-c2cccc(O)c2)n1
8,ZINCk6000004c4yV,CC[C@@H]1COC[C@@H]1NC(O)=NCc1n[nH]c([C@@H](C)O)n1
9,ZINCk5000003XjkE,CCOCCONC(=O)C(O)=NCC1(C)CC[NH2+]CC1
10,ZINCk800000gvPBH,O=C(NOCCOCCO)c1cnc(O)c2ccsc12
